,Upazila/Thana,Religion,Sex,,,,,,,,,,,,
,, Other,9,8,17,,,,,,,,,,
,, Total,191225,189076,380301,,,,,,,,,,
,Sujanagar,,Male,Female,Total,,,,,,,,,,
,, Muslim,133528,134728,268256,,,,,,,,,,
,, Hindu,5017,4796,9813,,,,,,,,,,
,, Christian,5,10,15,,,,,,,,,,
,, Other,9,3,12,,,,,,,,,,
,, Total,138559,139537,278096,,,,,,,,,,
,Bagha,,Male,Female,Total,,,,,,,,,,
,, Muslim,87066,87357,174423,,,,,,,,,,
,, Hindu,4857,4733,9590,,,,,,,,,,
,, Christian,22,27,49,,,,,,,,,,
,, Other,65,56,121,,,,,,,,,,
,, Total,92010,92173,184183,,,,,,,,,,
,Baghmara,,Male,Female,Total,,,,,,,,,,
,, Muslim,168730,169283,338013,,,,,,,,,,
,, Hindu,8343,8151,16494,,,,,,,,,,
,, Christian,3,3,6,,,,,,,,,,
,, Other,81,70,151,,,,,,,,,,
,, Total,177157,177507,354664,,,,,,,,,,
,Boalia,,Male,Female,Total,,,,,,,,,,
,, Muslim,106492,99651,206143,,,,,,,,,,
,, Hindu,7696,6878,14574,,,,,,,,,,
,, Christian,185,209,394,,,,,,,,,,
,, Buddhist,16,14,30,,,,,,,,,,
,, Other,10,12,22,,,,,,,,,,
,, Total,114399,106764,221163,,,,,,,,,,
,Charghat,,Male,Female,Total,,,,,,,,,,
,, Muslim,99710,98428,198138,,,,,,,,,,
,, Hindu,4280,4065,8345,,,,,,,,,,
,, Christian,41,39,80,,,,,,,,,,
,, Buddhist,2,2,4,,,,,,,,,,
,, Other,105,116,221,,,,,,,,,,
,, Total,104138,102650,206788,,,,,,,,,,
,Durgapur,,Male,Female,Total,,,,,,,,,,
,, Muslim,91036,89750,180786,,,,,,,,,,
,, Hindu,2032,2041,4073,,,,,,,,,,
,, Christian,310,334,644,,,,,,,,,,
,, Other,173,169,342,,,,,,,,,,
,, Total,93551,92294,185845,,,,,,,,,,
,Godagari,,Male,Female,Total,,,,,,,,,,
,, Muslim,146194,144288,290482,,,,,,,,,,
,, Hindu,11795,11823,23618,,,,,,,,,,
,, Christian,5554,5720,11274,,,,,,,,,,
,, Buddhist,4,2,6,,,,,,,,,,
,, Other,2713,2831,5544,,,,,,,,,,
,, Total,166260,164664,330924,,,,,,,,,,
,Matihar,,Male,Female,Total,,,,,,,,,,
,, Muslim,31919,27712,59631,,,,,,,,,,
,, Hindu,1473,995,2468,,,,,,,,,,
,, Christian,21,12,33,,,,,,,,,,
,, Buddhist,30,4,34,,,,,,,,,,
,, Other,3,3,6,,,,,,,,,,
,, Total,33446,28726,62172,,,,,,,,,,
,Mohanpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,82581,82216,164797,,,,,,,,,,
,, Hindu,2188,2126,4314,,,,,,,,,,
,, Christian,170,164,334,,,,,,,,,,
,, Other,297,279,576,,,,,,,,,,
,, Total,85236,84785,170021,,,,,,,,,,
,Paba,,Male,Female,Total,,,,,,,,,,
,, Muslim,154656,149847,304503,,,,,,,,,,
,, Hindu,2858,2807,5665,,,,,,,,,,
,, Christian,1499,1655,3154,,,,,,,,,,
,, Other,439,435,874,,,,,,,,,,
,, Total,159452,154744,314196,,,,,,,,,,
,Puthia,,Male,Female,Total,,,,,,,,,,
,, Muslim,98657,96247,194904,,,,,,,,,,
,, Hindu,5571,5355,10926,,,,,,,,,,
,, Christian,501,497,998,,,,,,,,,,
,, Other,342,320,662,,,,,,,,,,
,, Total,105071,102419,207490,,,,,,,,,,
,Rajpara,,Male,Female,Total,,,,,,,,,,
,, Muslim,66045,62599,128644,,,,,,,,,,
,, Hindu,3184,2993,6177,,,,,,,,,,
,, Christian,539,790,1329,,,,,,,,,,
,, Buddhist,24,13,37,,,,,,,,,,
,, Other,554,577,1131,,,,,,,,,,
,, Total,70346,66972,137318,,,,,,,,,,
,Shah makhdum,,Male,Female,Total,,,,,,,,,,
,, Muslim,14100,13612,27712,,,,,,,,,,
,, Hindu,491,507,998,,,,,,,,,,
,, Christian,104,102,206,,,,,,,,,,
,, Buddhist,3,3,6,,,,,,,,,,
,, Other,85,96,181,,,,,,,,,,
,, Total,14783,14320,29103,,,,,,,,,,
,Tanore,,Male,Female,Total,,,,,,,,,,
,, Muslim,79528,82490,162018,,,,,,,,,,
,, Hindu,7616,7536,15152,,,,,,,,,,
,, Christian,4543,4786,9329,,,,,,,,,,
,, Buddhist,8,9,17,,,,,,,,,,
,, Other,2346,2468,4814,,,,,,,,,,
,, Total,94041,97289,191330,,,,,,,,,,
,Belkuchi,,Male,Female,Total,,,,,,,,,,
,, Muslim,169856,163879,333735,,,,,,,,,,
,, Hindu,9801,9148,18949,,,,,,,,,,
,, Christian,35,15,50,,,,,,,,,,
,, Buddhist,3,5,8,,,,,,,,,,
,, Other,43,50,93,,,,,,,,,,
,, Total,179738,173097,352835,,,,,,,,,,
,Chauhali,,Male,Female,Total,,,,,,,,,,
,, Muslim,79154,78652,157806,,,,,,,,,,
,, Hindu,1089,1152,2241,,,,,,,,,,
,, Christian,9,7,16,,,,,,,,,,
,, Total,80252,79811,160063,,,,,,,,,,
,Kamarkhanda,,Male,Female,Total,,,,,,,,,,
,, Muslim,65710,67431,133141,,,,,,,,,,
,, Hindu,2694,2800,5494,,,,,,,,,,
,, Christian,5,2,7,,,,,,,,,,
,, Other,2,1,3,,,,,,,,,,
,, Total,68411,70234,138645,,,,,,,,,,
,Kazipur,,Male,Female,Total,,,,,,,,,,
,, Muslim,131357,136119,267476,,,,,,,,,,
,, Hindu,3626,3555,7181,,,,,,,,,,
,, Christian,-,1,1,,,,,,,,,,
,, Other,9,12,21,,,,,,,,,,
,, Total,134992,139687,274679,,,,,,,,,,
,Royganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,140944,141614,282558,,,,,,,,,,
,, Hindu,17512,17307,34819,,,,,,,,,,
,, Christian,25,13,38,,,,,,,,,,
,, Other,123,128,251,,,,,,,,,,
,, Total,158604,159062,317666,,,,,,,,,,
,Shahjadpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,273155,268142,541297,,,,,,,,,,
,, Hindu,10130,9562,19692,,,,,,,,,,
,, Christian,9,9,18,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,35,33,68,,,,,,,,,,
,, Total,283330,277746,561076,,,,,,,,,,
,Sirajganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,268487,266135,534622,,,,,,,,,,
,, Hindu,10615,9875,20490,,,,,,,,,,
,, Christian,7,16,23,,,,,,,,,,
,, Buddhist,3,7,10,,,,,,,,,,
,, Other,1,9,10,,,,,,,,,,
,, Total,279113,276042,555155,,,,,,,,,,
,Tarash,,Male,Female,Total,,,,,,,,,,
,, Muslim,88963,90942,179905,,,,,,,,,,
,, Hindu,8275,8583,16858,,,,,,,,,,
,, Christian,97,101,198,,,,,,,,,,
,, Buddhist,1,1,2,,,,,,,,,,
,, Other,111,140,251,,,,,,,,,,
,, Total,97447,99767,197214,,,,,,,,,,
,Ullah para,,Male,Female,Total,,,,,,,,,,
,, Muslim,258247,259718,517965,,,,,,,,,,
,, Hindu,11043,10747,21790,,,,,,,,,,
,, Christian,16,13,29,,,,,,,,,,
,, Buddhist,2,1,3,,,,,,,,,,
,, Other,173,196,369,,,,,,,,,,
,, Total,269481,270675,540156,,,,,,,,,,
,Birampur,,Male,Female,Total,,,,,,,,,,
,, Muslim,77435,75594,153029,,,,,,,,,,
,, Hindu,5216,5092,10308,,,,,,,,,,
,, Christian,2417,2462,4879,,,,,,,,,,
,, Buddhist,2,-,2,,,,,,,,,,
,, Other,1323,1265,2588,,,,,,,,,,
,, Total,86393,84413,170806,,,,,,,,,,
,Birganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,111429,109582,221011,,,,,,,,,,
,, Hindu,44358,44151,88509,,,,,,,,,,
,, Christian,2012,2102,4114,,,,,,,,,,
,, Buddhist,22,22,44,,,,,,,,,,
,, Other,1791,1784,3575,,,,,,,,,,
,, Total,159612,157641,317253,,,,,,,,,,
,Biral,,Male,Female,Total,,,,,,,,,,
,, Muslim,95515,93394,188909,,,,,,,,,,
,, Hindu,32379,32074,64453,,,,,,,,,,
,, Christian,484,448,932,,,,,,,,,,
,, Buddhist,41,36,77,,,,,,,,,,
,, Other,1741,1813,3554,,,,,,,,,,
,, Total,130160,127765,257925,,,,,,,,,,
,Bochaganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,48363,47723,96086,,,,,,,,,,
,, Hindu,30427,30257,60684,,,,,,,,,,
,, Christian,831,807,1638,,,,,,,,,,
,, Buddhist,48,39,87,,,,,,,,,,
,, Other,759,795,1554,,,,,,,,,,
,, Total,80428,79621,160049,,,,,,,,,,
,Chirirbandar,,Male,Female,Total,,,,,,,,,,
,, Muslim,111463,110945,222408,,,,,,,,,,
,, Hindu,33650,33387,67037,,,,,,,,,,
,, Christian,361,345,706,,,,,,,,,,
,, Other,1145,1204,2349,,,,,,,,,,
,, Total,146619,145881,292500,,,,,,,,,,
,Fulbari,,Male,Female,Total,,,,,,,,,,
,, Muslim,73676,72389,146065,,,,,,,,,,
,, Hindu,12116,11539,23655,,,,,,,,,,
,, Christian,1614,1600,3214,,,,,,,,,,
,, Buddhist,4,2,6,,,,,,,,,,
,, Other,1574,1509,3083,,,,,,,,,,
,, Total,88984,87039,176023,,,,,,,,,,
,Ghoraghat,,Male,Female,Total,,,,,,,,,,
,, Muslim,50670,50344,101014,,,,,,,,,,
,, Hindu,3675,3627,7302,,,,,,,,,,
,, Christian,3045,3017,6062,,,,,,,,,,
,, Buddhist,9,10,19,,,,,,,,,,
,, Other,1602,1741,3343,,,,,,,,,,
,, Total,59001,58739,117740,,,,,,,,,,
,Hakimpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,43254,41624,84878,,,,,,,,,,
,, Hindu,2630,2478,5108,,,,,,,,,,
,, Christian,640,732,1372,,,,,,,,,,
,, Buddhist,13,12,25,,,,,,,,,,
,, Other,625,591,1216,,,,,,,,,,
,, Total,47162,45437,92599,,,,,,,,,,
,Kaharole,,Male,Female,Total,,,,,,,,,,
,, Muslim,41917,41317,83234,,,,,,,,,,
,, Hindu,33795,34248,68043,,,,,,,,,,
,, Christian,617,623,1240,,,,,,,,,,
,, Other,924,991,1915,,,,,,,,,,
,, Total,77253,77179,154432,,,,,,,,,,
,Khansama,,Male,Female,Total,,,,,,,,,,
,, Muslim,62516,61031,123547,,,,,,,,,,
,, Hindu,23897,23676,47573,,,,,,,,,,
,, Christian,227,230,457,,,,,,,,,,
,, Other,91,96,187,,,,,,,,,,
,, Total,86731,85033,171764,,,,,,,,,,
,Dinajpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,203198,194957,398155,,,,,,,,,,
,, Hindu,40468,37550,78018,,,,,,,,,,
,, Christian,2637,2755,5392,,,,,,,,,,
,, Buddhist,34,27,61,,,,,,,,,,
,, Other,1455,1516,2971,,,,,,,,,,
,, Total,247792,236805,484597,,,,,,,,,,
,Nawabganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,100661,100722,201383,,,,,,,,,,
,, Hindu,8456,8090,16546,,,,,,,,,,
,, Christian,2355,2374,4729,,,,,,,,,,
,, Buddhist,19,23,42,,,,,,,,,,
,, Other,3272,3365,6637,,,,,,,,,,
,, Total,114763,114574,229337,,,,,,,,,,
,Parbatipur,,Male,Female,Total,,,,,,,,,,
,, Muslim,157814,155720,313534,,,,,,,,,,
,, Hindu,23202,22875,46077,,,,,,,,,,
,, Christian,1361,1392,2753,,,,,,,,,,
,, Buddhist,54,56,110,,,,,,,,,,
,, Other,1341,1288,2629,,,,,,,,,,
,, Total,183772,181331,365103,,,,,,,,,,
,Fulchhari,,Male,Female,Total,,,,,,,,,,
,, Muslim,79372,79688,159060,,,,,,,,,,
,, Hindu,2899,2874,5773,,,,,,,,,,
,, Christian,1,-,1,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,250,249,499,,,,,,,,,,
,, Total,82523,82811,165334,,,,,,,,,,
,Gaibandha,,Male,Female,Total,,,,,,,,,,
,, Muslim,197291,206899,404190,,,,,,,,,,
,, Hindu,16372,16420,32792,,,,,,,,,,
,, Christian,10,9,19,,,,,,,,,,
,, Buddhist,3,2,5,,,,,,,,,,
,, Other,135,127,262,,,,,,,,,,
,, Total,213811,223457,437268,,,,,,,,,,
,Gobindaganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,237062,240665,477727,,,,,,,,,,
,, Hindu,16560,16279,32839,,,,,,,,,,
,, Christian,1372,1425,2797,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,644,688,1332,,,,,,,,,,
,, Total,255639,259057,514696,,,,,,,,,,
,Palashbari,,Male,Female,Total,,,,,,,,,,
,, Muslim,112028,117002,229030,,,,,,,,,,
,, Hindu,7922,7718,15640,,,,,,,,,,
,, Christian,25,28,53,,,,,,,,,,
,, Buddhist,1,3,4,,,,,,,,,,
,, Other,31,34,65,,,,,,,,,,
,, Total,120007,124785,244792,,,,,,,,,,
,Sadullapur,,Male,Female,Total,,,,,,,,,,
,, Muslim,128074,134507,262581,,,,,,,,,,
,, Hindu,12207,12366,24573,,,,,,,,,,
,, Christian,4,8,12,,,,,,,,,,
,, Buddhist,16,18,34,,,,,,,,,,
,, Other,122,104,226,,,,,,,,,,
,, Total,140423,147003,287426,,,,,,,,,,
,Saghata,,Male,Female,Total,,,,,,,,,,
,, Muslim,121288,127953,249241,,,,,,,,,,
,, Hindu,9203,9142,18345,,,,,,,,,,
,, Buddhist,3,1,4,,,,,,,,,,
,, Other,112,117,229,,,,,,,,,,
,, Total,130606,137213,267819,,,,,,,,,,
,Sundarganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,207170,216540,423710,,,,,,,,,,
,, Hindu,18820,19115,37935,,,,,,,,,,
,, Christian,18,20,38,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,110,126,236,,,,,,,,,,
,, Total,226118,235802,461920,,,,,,,,,,
,Bhurungamari,,Male,Female,Total,,,,,,,,,,
,, Muslim,111465,116109,227574,,,,,,,,,,
,, Hindu,2028,1917,3945,,,,,,,,,,
,, Christian,4,7,11,,,,,,,,,,
,, Buddhist,3,2,5,,,,,,,,,,
,, Other,2,1,3,,,,,,,,,,
,, Total,113502,118036,231538,,,,,,,,,,
,Char Rajibpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,35160,37819,72979,,,,,,,,,,
,, Hindu,205,176,381,,,,,,,,,,
,, Other,7,6,13,,,,,,,,,,
,, Total,35372,38001,73373,,,,,,,,,,
,Chilmari,,Male,Female,Total,,,,,,,,,,
,, Muslim,56267,60286,116553,,,,,,,,,,
,, Hindu,3104,3085,6189,,,,,,,,,,
,, Christian,1,1,2,,,,,,,,,,
,, Other,42,55,97,,,,,,,,,,
,, Total,59414,63427,122841,,,,,,,,,,
,Phulbari,,Male,Female,Total,,,,,,,,,,
,, Muslim,70178,73269,143447,,,,,,,,,,
,, Hindu,8375,8388,16763,,,,,,,,,,
,, Christian,1,5,6,,,,,,,,,,
,, Other,14,20,34,,,,,,,,,,
,, Total,78568,81682,160250,,,,,,,,,,
,Kurigram,,Male,Female,Total,,,,,,,,,,
,, Muslim,143083,146650,289733,,,,,,,,,,
,, Hindu,11336,11143,22479,,,,,,,,,,
,, Christian,24,30,54,,,,,,,,,,
,, Buddhist,12,24,36,,,,,,,,,,
,, Other,45,61,106,,,,,,,,,,
,, Total,154500,157908,312408,,,,,,,,,,
,Nageshwari,,Male,Female,Total,,,,,,,,,,
,, Muslim,183779,191266,375045,,,,,,,,,,
,, Hindu,9610,9495,19105,,,,,,,,,,
,, Christian,5,3,8,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,49,50,99,,,,,,,,,,
,, Total,193444,200814,394258,,,,,,,,,,
,Rajarhat,,Male,Female,Total,,,,,,,,,,
,, Muslim,71461,75786,147247,,,,,,,,,,
,, Hindu,17337,18363,35700,,,,,,,,,,
,, Christian,5,3,8,,,,,,,,,,
,, Other,15,11,26,,,,,,,,,,
,, Total,88818,94163,182981,,,,,,,,,,
,Raumari,,Male,Female,Total,,,,,,,,,,
,, Muslim,95005,99909,194914,,,,,,,,,,
,, Hindu,774,725,1499,,,,,,,,,,
,, Buddhist,4,-,4,,,,,,,,,,
,, Total,95783,100634,196417,,,,,,,,,,
,Ulipur,,Male,Female,Total,,,,,,,,,,
,, Muslim,176267,189020,365287,,,,,,,,,,
,, Hindu,14551,14872,29423,,,,,,,,,,
,, Christian,6,8,14,,,,,,,,,,
,, Buddhist,1,1,2,,,,,,,,,,
,, Other,216,265,481,,,,,,,,,,
,, Total,191041,204166,395207,,,,,,,,,,
,Aditmari,,Male,Female,Total,,,,,,,,,,
,, Muslim,93040,93507,186547,,,,,,,,,,
,, Hindu,19170,19008,38178,,,,,,,,,,
,, Christian,12,14,26,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,21,23,44,,,,,,,,,,
,, Total,112243,112553,224796,,,,,,,,,,
,Hatibandha,,Male,Female,Total,,,,,,,,,,
,, Muslim,102064,102180,204244,,,,,,,,,,
,, Hindu,14752,14861,29613,,,,,,,,,,
,, Christian,9,7,16,,,,,,,,,,
,, Other,31,23,54,,,,,,,,,,
,, Total,116856,117071,233927,,,,,,,,,,
,Kaliganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,99024,99983,199007,,,,,,,,,,
,, Hindu,23067,23241,46308,,,,,,,,,,
,, Christian,97,94,191,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,37,51,88,,,,,,,,,,
,, Total,122225,123370,245595,,,,,,,,,,
,Lalmonirhat,,Male,Female,Total,,,,,,,,,,
,, Muslim,141348,141236,282584,,,,,,,,,,
,, Hindu,25124,24855,49979,,,,,,,,,,
,, Christian,187,200,387,,,,,,,,,,
,, Buddhist,2,-,2,,,,,,,,,,
,, Other,102,112,214,,,,,,,,,,
,, Total,166763,166403,333166,,,,,,,,,,
,Patgram,,Male,Female,Total,,,,,,,,,,
,, Muslim,105314,102816,208130,,,,,,,,,,
,, Hindu,5396,5084,10480,,,,,,,,,,
,, Christian,1,1,2,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,-,2,2,,,,,,,,,,
,, Total,110712,107903,218615,,,,,,,,,,
,Dimla,,Male,Female,Total,,,,,,,,,,
,, Muslim,126528,125349,251877,,,,,,,,,,
,, Hindu,15827,15605,31432,,,,,,,,,,
,, Christian,11,16,27,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,45,56,101,,,,,,,,,,
,, Total,142412,141026,283438,,,,,,,,,,
,Domar,,Male,Female,Total,,,,,,,,,,
,, Muslim,102037,101325,203362,,,,,,,,,,
,, Hindu,23245,22709,45954,,,,,,,,,,
,, Christian,16,16,32,,,,,,,,,,
,, Buddhist,4,1,5,,,,,,,,,,
,, Other,36,40,76,,,,,,,,,,
,, Total,125338,124091,249429,,,,,,,,,,
,Jaldhaka,,Male,Female,Total,,,,,,,,,,
,, Muslim,137904,136020,273924,,,,,,,,,,
,, Hindu,33481,33102,66583,,,,,,,,,,
,, Christian,33,27,60,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,47,57,104,,,,,,,,,,
,, Total,171466,169206,340672,,,,,,,,,,
,Kishoreganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,110731,109934,220665,,,,,,,,,,
,, Hindu,20091,20072,40163,,,,,,,,,,
,, Christian,80,108,188,,,,,,,,,,
,, Buddhist,13,11,24,,,,,,,,,,
,, Other,16,13,29,,,,,,,,,,
,, Total,130931,130138,261069,,,,,,,,,,
,Nilphamari,,Male,Female,Total,,,,,,,,,,
,, Muslim,173688,171234,344922,,,,,,,,,,
,, Hindu,44912,44395,89307,,,,,,,,,,
,, Christian,256,262,518,,,,,,,,,,
,, Buddhist,1,7,8,,,,,,,,,,
,, Other,223,184,407,,,,,,,,,,
,, Total,219080,216082,435162,,,,,,,,,,
,Saidpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,123473,120693,244166,,,,,,,,,,
,, Hindu,10085,9861,19946,,,,,,,,,,
,, Christian,142,141,283,,,,,,,,,,
,, Buddhist,11,3,14,,,,,,,,,,
,, Other,26,26,52,,,,,,,,,,
,, Total,133737,130724,264461,,,,,,,,,,
,Atwari,,Male,Female,Total,,,,,,,,,,
,, Muslim,49688,49993,99681,,,,,,,,,,
,, Hindu,16189,16092,32281,,,,,,,,,,
,, Christian,744,732,1476,,,,,,,,,,
,, Buddhist,4,-,4,,,,,,,,,,
,, Other,112,96,208,,,,,,,,,,
,, Total,66737,66913,133650,,,,,,,,,,
,Boda,,Male,Female,Total,,,,,,,,,,
,, Muslim,89209,88253,177462,,,,,,,,,,
,, Hindu,27023,26966,53989,,,,,,,,,,
,, Christian,192,207,399,,,,,,,,,,
,, Buddhist,1,1,2,,,,,,,,,,
,, Other,130,142,272,,,,,,,,,,
,, Total,116555,115569,232124,,,,,,,,,,
,Debiganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,83517,82536,166053,,,,,,,,,,
,, Hindu,29246,28698,57944,,,,,,,,,,
,, Christian,137,132,269,,,,,,,,,,
,, Buddhist,-,1,1,,,,,,,,,,
,, Other,220,222,442,,,,,,,,,,
,, Total,113120,111589,224709,,,,,,,,,,
,Panchagarh,,Male,Female,Total,,,,,,,,,,
,, Muslim,128195,126417,254612,,,,,,,,,,
,, Hindu,8541,8314,16855,,,,,,,,,,
,, Christian,80,83,163,,,,,,,,,,
,, Buddhist,3,1,4,,,,,,,,,,
,, Other,31,42,73,,,,,,,,,,
,, Total,136850,134857,271707,,,,,,,,,,
,Tentulia,,Male,Female,Total,,,,,,,,,,
,, Muslim,62115,60706,122821,,,,,,,,,,
,, Hindu,1201,1134,2335,,,,,,,,,,
,, Christian,94,112,206,,,,,,,,,,
,, Buddhist,3,7,10,,,,,,,,,,
,, Other,50,32,82,,,,,,,,,,
,, Total,63463,61991,125454,,,,,,,,,,
,Badarganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,126133,125917,252050,,,,,,,,,,
,, Hindu,16708,16083,32791,,,,,,,,,,
,, Christian,803,889,1692,,,,,,,,,,
,, Buddhist,16,23,39,,,,,,,,,,
,, Other,594,580,1174,,,,,,,,,,
,, Total,144254,143492,287746,,,,,,,,,,
,Gangachara,,Male,Female,Total,,,,,,,,,,
,, Muslim,132872,130628,263500,,,,,,,,,,
,, Hindu,17397,16908,34305,,,,,,,,,,
,, Christian,11,6,17,,,,,,,,,,
,, Other,20,27,47,,,,,,,,,,
,, Total,150300,147569,297869,,,,,,,,,,
,Kaunia,,Male,Female,Total,,,,,,,,,,
,, Muslim,104852,107229,212081,,,,,,,,,,
,, Hindu,7788,7817,15605,,,,,,,,,,
,, Christian,21,21,42,,,,,,,,,,
,, Other,40,37,77,,,,,,,,,,
,, Total,112701,115104,227805,,,,,,,,,,
,Rangpur,,Male,Female,Total,,,,,,,,,,
,, Muslim,331884,318553,650437,,,,,,,,,,
,, Hindu,34323,32319,66642,,,,,,,,,,
,, Christian,134,140,274,,,,,,,,,,
,, Buddhist,92,55,147,,,,,,,,,,
,, Other,355,348,703,,,,,,,,,,
,, Total,366788,351415,718203,,,,,,,,,,
,Mitha pukur,,Male,Female,Total,,,,,,,,,,
,, Muslim,228695,232182,460877,,,,,,,,,,
,, Hindu,19757,19571,39328,,,,,,,,,,
,, Christian,1087,1191,2278,,,,,,,,,,
,, Buddhist,730,728,1458,,,,,,,,,,
,, Other,2057,2135,4192,,,,,,,,,,
,, Total,252326,255807,508133,,,,,,,,,,
,Pirgachha,,Male,Female,Total,,,,,,,,,,
,, Muslim,139986,145885,285871,,,,,,,,,,
,, Hindu,13403,13747,27150,,,,,,,,,,
,, Christian,9,17,26,,,,,,,,,,
,, Buddhist,12,13,25,,,,,,,,,,
,, Other,114,133,247,,,,,,,,,,
,, Total,153524,159795,313319,,,,,,,,,,
,Pirganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,176666,178203,354869,,,,,,,,,,
,, Hindu,12563,12417,24980,,,,,,,,,,
,, Christian,1096,1156,2252,,,,,,,,,,
,, Buddhist,97,97,194,,,,,,,,,,
,, Other,1603,1601,3204,,,,,,,,,,
,, Total,192025,193474,385499,,,,,,,,,,
,Taraganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,62846,61732,124578,,,,,,,,,,
,, Hindu,9024,8859,17883,,,,,,,,,,
,, Christian,7,6,13,,,,,,,,,,
,, Other,21,17,38,,,,,,,,,,
,, Total,71898,70614,142512,,,,,,,,,,
,Baliadangi,,Male,Female,Total,,,,,,,,,,
,, Muslim,79344,77155,156499,,,,,,,,,,
,, Hindu,18608,18294,36902,,,,,,,,,,
,, Christian,742,747,1489,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,74,84,158,,,,,,,,,,
,, Total,98769,96280,195049,,,,,,,,,,
,Haripur,,Male,Female,Total,,,,,,,,,,
,, Muslim,67336,67106,134442,,,,,,,,,,
,, Hindu,6555,6317,12872,,,,,,,,,,
,, Christian,168,151,319,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,153,160,313,,,,,,,,,,
,, Total,74213,73734,147947,,,,,,,,,,
,Pirganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,85915,84445,170360,,,,,,,,,,
,, Hindu,34800,34760,69560,,,,,,,,,,
,, Christian,703,670,1373,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,1134,1107,2241,,,,,,,,,,
,, Total,122553,120982,243535,,,,,,,,,,
,Ranisankail,,Male,Female,Total,,,,,,,,,,
,, Muslim,88007,86156,174163,,,,,,,,,,
,, Hindu,23054,22816,45870,,,,,,,,,,
,, Christian,553,521,1074,,,,,,,,,,
,, Buddhist,23,24,47,,,,,,,,,,
,, Other,558,572,1130,,,,,,,,,,
,, Total,112195,110089,222284,,,,,,,,,,
,Thakurgaon,,Male,Female,Total,,,,,,,,,,
,, Muslim,217630,213082,430712,,,,,,,,,,
,, Hindu,72768,71451,144219,,,,,,,,,,
,, Christian,1792,1850,3642,,,,,,,,,,
,, Buddhist,122,91,213,,,,,,,,,,
,, Other,1239,1202,2441,,,,,,,,,,
,, Total,293551,287676,581227,,,,,,,,,,
,Ajmiriganj,,Male,Female,Total,,,,,,,,,,
,, Muslim,42072,42932,85004,,,,,,,,,,
,, Hindu,14537,14713,29250,,,,,,,,,,
,, Christian,4,3,7,,,,,,,,,,
,, Buddhist,1,-,1,,,,,,,,,,
,, Other,1,2,3,,,,,,,,,,
,, Total,56615,57650,114265,,,,,,,,,,
,Bahubal,,Male,Female,Total,,,,,,,,,,
,, Muslim,83547,85272,168819,,,,,,,,,,
,, Hindu,14172,14299,28471,,,,,,,,,,
,, Christian,314,265,579,,,,,,,,,,
,, Buddhist,5,1,6,,,,,,,,,,
,, Other,63,59,122,,,,,,,,,,
,, Total,98101,99896,197997,,,,,,,,,,
,Baniachong,,Male,Female,Total,,,,,,,,,,
,, Muslim,134165,138507,272672,,,,,,,,,,
,, Hindu,29451,29892,59343,,,,,,,,,,
,, Christian,7,11,18,,,,,,,,,,
,, Buddhist,4,4,8,,,,,,,,,,
,, Other,248,241,489,,,,,,,,,,
,, Total,163875,168655,332530,,,,,,,,,,
,Chunarughat,,Male,Female,Total,,,,,,,,,,
,, Muslim,114415,122146,236561,,,,,,,,,,
,, Hindu,31575,31795,63370,,,,,,,,,,
,, Christian,337,305,642,,,,,,,,,,
,, Buddhist,3,3,6,,,,,,,,,,
,, Other,778,753,1531,,,,,,,,,,
